group,scenario,backend,rep,op,counter,value
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_requests_GET,8
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_requests_HEAD,1
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_requests_PUT,47
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_requests_total,57
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_response_body_bytes,3514
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_responses_2xx,56
blob,blob/backup-corpus,restic-s3,0,push_initial,s3_responses_4xx,1
blob,blob/backup-corpus,restic-s3,0,push_initial,stored_bytes,742482814
blob,blob/backup-corpus,restic-s3,0,push_initial,stored_objects,48
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_bytes_down,6021
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_bytes_up,8514
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_connections,1
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_request_body_bytes,970
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_requests_DELETE,1
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_requests_GET,8
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_requests_HEAD,1
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_requests_PUT,2
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_requests_total,12
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_response_body_bytes,4217
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_responses_2xx,11
blob,blob/backup-corpus,restic-s3,0,push_noop,s3_responses_4xx,1
blob,blob/backup-corpus,restic-s3,0,push_noop,stored_bytes,742483265
blob,blob/backup-corpus,restic-s3,0,push_noop,stored_objects,49
blob,blob/backup-corpus,restic-s3,0,pull_fresh,delivered_logical_bytes,2179569013
blob,blob/backup-corpus,restic-s3,0,pull_fresh,delivered_references,1
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_bytes_down,742238471
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_bytes_up,35389
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_connections,5
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_request_body_bytes,345
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_requests_DELETE,1
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_requests_GET,53
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_requests_HEAD,1
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_requests_PUT,1
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_requests_total,56
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_response_body_bytes,742223951
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_responses_2xx,55
blob,blob/backup-corpus,restic-s3,0,pull_fresh,s3_responses_4xx,1
blob,blob/backup-corpus,restic-s3,0,pull_fresh,stored_bytes,742483265
blob,blob/backup-corpus,restic-s3,0,pull_fresh,stored_objects,49
blob,blob/backup-corpus,restic-s3,0,push_incremental,s3_bytes_down,6977
blob,blob/backup-corpus,restic-s3,0,push_incremental,s3_bytes_up,6222325
blob,blob/backup-corpus,restic-s3,0,push_incremental,s3_connections,1
blob,blob/backup-corpus,restic-s3,0,push_incremental,s3_request_body_bytes,6212470
