group,scenario,backend,rep,op,counter,value
blob,blob/backup-corpus,amber-rust-s3,1,retention_cleanup,stored_objects,3
git,git/history,amber-go,1,history_store,backend_commands,11
git,git/history,amber-go,1,history_store,commits,11
git,git/history,amber-go,1,history_store,store_closures_allocated_bytes,4096
git,git/history,amber-go,1,history_store,store_closures_apparent_bytes,0
git,git/history,amber-go,1,history_store,store_packstore_allocated_bytes,2404352
git,git/history,amber-go,1,history_store,store_packstore_apparent_bytes,2396235
git,git/history,amber-go,1,history_store,store_refs_allocated_bytes,4673536
git,git/history,amber-go,1,history_store,store_refs_apparent_bytes,10425
git,git/history,amber-go,1,history_store_incremental,backend_commands,4
git,git/history,amber-go,1,history_store_incremental,commits,4
git,git/history,amber-go,1,history_store_incremental,store_closures_allocated_bytes,4096
git,git/history,amber-go,1,history_store_incremental,store_closures_apparent_bytes,0
git,git/history,amber-go,1,history_store_incremental,store_packstore_allocated_bytes,2420736
git,git/history,amber-go,1,history_store_incremental,store_packstore_apparent_bytes,2413558
git,git/history,amber-go,1,history_store_incremental,store_refs_allocated_bytes,4689920
git,git/history,amber-go,1,history_store_incremental,store_refs_apparent_bytes,13417
git,git/history,amber-go,1,list_head,cli_invocations,29
git,git/history,amber-go,1,list_head,entries,169
git,git/history,amber-go,1,retained_version_coverage,versions_retained,15
git,git/history,amber-go,1,retained_version_coverage,versions_unverified,0
git,git/history,amber-go,1,retained_version_coverage,versions_verified,15
nix,nix/closure,nix,1,gc,allocated_before_delete,17125376
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_bytes_down,1246
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_bytes_up,6093978
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_connections,2
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_request_body_bytes,6091350
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_requests_GET,2
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_requests_PUT,2
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_requests_total,4
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_response_body_bytes,619
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_responses_2xx,3
blob,blob/source-history,amber-rust-s3,1,push_initial,s3_responses_4xx,1
blob,blob/source-history,amber-rust-s3,1,push_initial,stored_bytes,6082720
